Jurisdiction,,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
Rhode Island,,9,19,22,31,25,16,28,30,35,46,33,57,48,45,47,51,42,34,24,8,10,8,0,0,0,0,4,6,2,3,3,1,0,2,25,17,15,15,24,
, Male,9,19,21,31,25,16,27,29,35,44,27,56,46,44,42,49,41,30,21,6,9,5,0,0,0,0,3,5,2,3,3,1,0,2,25,14,14,14,22, 
, Female,0,0,1,0,0,0,1,1,0,2,6,1,2,1,5,2,1,4,3,2,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,1,2, 
South Carolina,,216,266,294,233,232,266,199,194,230,209,168,139,119,126,116,116,122,150,60,37,48,18,21,23,47,32,32,22,23,15,14,22,16,11,15,10,11,11,9,
, Male,202,260,290,229,229,258,194,190,220,204,161,136,108,118,100,102,108,137,56,36,44,17,20,18,46,31,31,22,23,15,14,20,16,11,15,10,10,11,9, 
, Female,14,6,4,4,3,8,5,4,10,5,7,3,11,8,16,14,14,13,4,1,4,1,1,5,1,1,1,0,0,0,0,2,0,0,0,0,1,0,0, 
South Dakota,,17,17,13,10,10,7,7,3,7,11,8,5,10,9,15,16,10,10,7,1,5,6,1,8,2,4,7,1,6,8,4,7,10,11,5,15,15,17,11,
, Male,17,17,13,10,10,7,7,3,7,11,8,5,9,9,15,16,10,10,5,1,4,6,1,8,2,4,4,1,6,7,2,7,10,8,4,14,14,15,10, 
, Female,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,1,2,0,0,3,1,1,1,2,1, 
Tennessee,,357,384,385,439,517,515,580,214,126,119,140,145,108,88,113,89,73,84,87,71,53,59,82,64,42,33,41,26,21,6,4,11,11,10,4,3,2,1,9,
, Male,339,374,375,429,500,512,573,214,126,111,132,139,105,87,106,83,66,78,83,68,47,52,71,48,37,29,38,25,17,6,3,11,11,10,4,3,1,1,8, 
, Female,18,10,10,10,17,3,7,0,0,8,8,6,3,1,7,6,7,6,4,3,6,7,11,16,5,4,3,1,4,0,1,0,0,0,0,0,1,0,1, 
Texas,,13,5,8,21,97,16,27,28,58,133,293,230,155,25,38,0,13,8,0,0,0,5,2,0,0,4,4,2,0,6,4,3,1,3,0,0,0,0,0,
, Male,13,5,7,20,95,16,27,27,56,130,282,226,151,24,36,0,13,8,0,0,0,5,2,0,0,4,4,2,0,6,4,3,1,3,0,0,0,0,0, 
, Female,0,0,1,1,2,0,0,1,2,3,11,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Utah,,57,62,91,108,119,129,62,96,78,39,32,44,37,25,10,5,13,8,8,4,7,5,5,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
, Male,52,53,87,103,110,121,57,90,71,39,31,38,34,23,10,5,12,8,8,4,7,5,5,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0, 
, Female,5,9,4,5,9,8,5,6,7,0,1,6,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Vermont,,36,36,56,58,47,39,10,28,36,35,35,23,37,55,48,11,10,32,50,100,94,95,97,103,89,80,92,89,78,13,10,4,4,0,6,2,2,2,2,
, Male,36,35,56,58,47,39,10,28,36,35,35,23,36,53,46,11,10,30,50,98,86,87,87,92,76,63,79,77,66,11,9,3,3,0,6,1,1,1,1, 
, Female,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,0,2,8,8,10,11,13,17,13,12,12,2,1,1,1,0,0,1,1,1,1, 
Virginia,,73,76,103,135,117,100,94,71,82,79,82,50,46,19,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
, Male,71,76,103,131,113,97,93,70,80,77,80,45,42,18,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
, Female,2,0,0,4,4,3,1,1,2,2,2,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Washington,,269,279,383,546,430,309,194,296,276,403,256,199,151,147,155,144,148,148,132,156,139,165,136,117,92,110,121,91,68,48,25,34,27,30,27,41,36,52,60,
, Male,245,262,362,514,401,306,184,274,255,382,231,171,134,129,146,135,128,131,118,137,127,150,120,98,78,99,112,76,62,46,20,31,26,28,24,37,36,42,53, 
, Female,24,17,21,32,29,3,10,22,21,21,25,28,17,18,9,9,20,17,14,19,12,15,16,19,14,11,9,15,6,2,5,3,1,2,3,4,0,10,7, 
West Virginia,,39,30,18,12,15,19,30,31,50,54,60,74,87,5,13,19,4,9,5,4,2,0,3,2,0,0,0,5,0,0,0,0,0,11,5,6,14,10,19,
, Male,39,29,17,12,15,16,28,29,50,54,58,62,87,4,13,18,4,9,4,4,2,0,3,2,0,0,0,4,0,0,0,0,0,9,5,6,13,8,17, 
